DATE,STATION_NUMBER,DISCHARGE
2015-03-01,07JF003,0.5170000195503235
2015-03-02,07JF003,0.5299999713897705
2015-03-03,07JF003,0.5529999732971191
2015-03-04,07JF003,0.5690000057220459
2015-03-05,07JF003,0.5799999833106995
2015-03-06,07JF003,0.5690000057220459
2015-03-07,07JF003,0.5730000138282776
2015-03-08,07JF003,0.5770000219345093
2015-03-09,07JF003,0.5740000009536743
2015-03-10,07JF003,0.5730000138282776
2015-03-11,07JF003,0.6039999723434448
2015-03-12,07JF003,0.6190000176429749
2015-03-13,07JF003,0.6079999804496765
2015-03-14,07JF003,0.5960000157356262
2015-03-15,07JF003,0.5820000171661377
2015-03-16,07JF003,0.574999988079071
2015-03-17,07JF003,0.609000027179718
2015-03-18,07JF003,0.6179999709129333
2015-03-19,07JF003,0.6230000257492065
2015-03-20,07JF003,0.6299999952316284
2015-03-21,07JF003,0.6299999952316284
2015-03-22,07JF003,0.6200000047683716
2015-03-23,07JF003,0.6179999709129333
2015-03-24,07JF003,0.6200000047683716
2015-03-25,07JF003,0.6200000047683716
2015-03-26,07JF003,0.6200000047683716
2015-03-27,07JF003,0.6159999966621399
2015-03-28,07JF003,0.6100000143051147
2015-03-29,07JF003,0.621999979019165
2015-03-30,07JF003,0.609000027179718
2015-03-31,07JF003,0.6060000061988831
2015-04-01,07JF003,0.5950000286102295
2015-04-02,07JF003,0.5759999752044678
2015-04-03,07JF003,0.5479999780654907
2015-04-04,07JF003,0.5600000023841858
2015-04-05,07JF003,0.6209999918937683
2015-04-06,07JF003,0.6330000162124634
2015-04-07,07JF003,0.6039999723434448
2015-04-08,07JF003,0.5329999923706055
2015-04-09,07JF003,0.5600000023841858
2015-04-10,07JF003,0.9900000095367432
2015-04-11,07JF003,2.9200000762939453
2015-04-12,07JF003,2.0799999237060547
2015-04-13,07JF003,2.25
2015-04-14,07JF003,3.140000104904175
2015-04-15,07JF003,5.949999809265137
2015-04-16,07JF003,8.479999542236328
2015-04-17,07JF003,8.180000305175781
2015-04-18,07JF003,8.109999656677246
2015-04-19,07JF003,8.470000267028809
2015-04-20,07JF003,8.850000381469727
2015-04-21,07JF003,9.640000343322754
2015-04-22,07JF003,12.199999809265137
2015-04-23,07JF003,14.600000381469728
2015-04-24,07JF003,18.899999618530277
2015-04-25,07JF003,21.600000381469727
2015-04-26,07JF003,23.100000381469727
2015-04-27,07JF003,21.100000381469727
2015-04-28,07JF003,24.700000762939453
2015-04-29,07JF003,38.900001525878906
2015-04-30,07JF003,63.59999847412109
2015-05-01,07JF003,70.69999694824219
2015-05-02,07JF003,62.20000076293945
2015-05-03,07JF003,50.70000076293945
2015-05-04,07JF003,42.20000076293945
2015-05-05,07JF003,34.5
2015-05-06,07JF003,29.299999237060547
2015-05-07,07JF003,24.700000762939453
2015-05-08,07JF003,22.0
2015-05-09,07JF003,20.700000762939453
2015-05-10,07JF003,19.600000381469727
2015-05-11,07JF003,19.0
2015-05-12,07JF003,19.100000381469727
2015-05-13,07JF003,19.0
2015-05-14,07JF003,18.799999237060547
2015-05-15,07JF003,18.100000381469727
2015-05-16,07JF003,17.200000762939453
2015-05-17,07JF003,16.100000381469727
2015-05-18,07JF003,14.800000190734863
2015-05-19,07JF003,13.800000190734863
2015-05-20,07JF003,13.100000381469728
2015-05-21,07JF003,12.399999618530272
2015-05-22,07JF003,11.800000190734863
2015-05-23,07JF003,11.300000190734863
2015-05-24,07JF003,10.800000190734863
2015-05-25,07JF003,10.300000190734863
2015-05-26,07JF003,9.829999923706056
2015-05-27,07JF003,9.529999732971191
2015-05-28,07JF003,9.050000190734863
2015-05-29,07JF003,8.8100004196167
